epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.44672,1.02447,2.78644,1.57509,0.00333,1,0.06735,0.05678,0.35999,3.21877,1.1706,0.1,0,0
2,6.24579,0.99383,2.89,1.44539,0.00333,1,0.06633,0.0568,0.36429,3.21615,1.18666,0.09901,9.967e-06,9.967e-06
3,6.77984,0.94113,2.74948,1.45712,0.00333,1,0.1,0.09,0.37102,3.19185,1.20559,0.0980199,1.9868e-05,1.9868e-05
4,7.11518,1.06572,2.76856,1.50362,0.00333,1,0.09045,0.08141,0.37524,3.20231,1.1973,0.0970297,2.9703e-05,2.9703e-05
5,7.47129,1.37856,3.11074,1.92148,0.00333,1,0.06054,0.05686,0.39401,3.21115,1.19944,0.0960395,3.9472e-05,3.9472e-05
6,7.84563,0.97725,2.79873,1.47566,0.00333,1,0.11056,0.04382,0.41176,3.20175,1.20729,0.0950492,4.9175e-05,4.9175e-05
7,8.2208,1.03815,2.83132,1.51539,0.00333,1,0.08779,0.07418,0.42486,3.18614,1.2286,0.0940588,5.8812e-05,5.8812e-05
8,8.63769,1.25389,2.95462,1.62761,0.00333,1,0.62375,0.48489,0.37423,3.09465,1.02417,0.0930684,6.8383e-05,6.8383e-05
9,9.18842,0.45453,2.3969,1.06397,0.00333,1,0.995,0.7077,0.34017,2.63822,1.02923,0.0920779,7.7888e-05,7.7888e-05
10,9.69732,0.399,2.05503,0.93092,0.00333,1,0.995,0.6965,0.34947,2.57301,1.0466,0.0910873,8.7327e-05,8.7327e-05
11,10.3196,0.40219,1.84241,0.95009,0.00333,1,0.995,0.7077,0.39852,2.60817,1.11102,0.0900967,9.67e-05,9.67e-05
12,10.84,0.35249,1.63136,0.90309,0.00756,1,0.995,0.70775,0.36854,2.69393,1.14793,0.089106,0.000106007,0.000106007
13,11.3707,0.37639,1.45976,0.90172,0.00728,1,0.775,0.55208,0.42359,2.71967,1.17729,0.0881152,0.000115248,0.000115248
14,11.8508,0.28546,1.29495,0.84743,0.00709,1,0.09856,0.06961,0.55441,2.90354,1.40873,0.0871244,0.000124423,0.000124423
15,12.3417,0.28731,1.28582,0.90119,0.00696,1,0.03471,0.0243,0.93,3.0169,1.91906,0.0861335,0.000133532,0.000133532
16,12.8041,0.30979,1.18007,0.88982,0.00673,1,0.04312,0.0283,1.1166,3.19149,2.03427,0.0851426,0.000142575,0.000142575
17,13.3277,0.33319,1.05624,0.93439,0.00708,1,0.10286,0.05547,1.27638,3.13098,2.14259,0.0841516,0.000151552,0.000151552
18,13.7812,0.39475,1.12514,0.91882,0.00708,1,0.10286,0.05547,1.27638,3.13098,2.14259,0.0831605,0.000160463,0.000160463
19,14.2617,0.27638,0.93506,0.87944,0.00721,1,0.376,0.24046,0.8919,2.94659,1.75987,0.0821693,0.000169308,0.000169308
20,14.6878,0.29646,0.93594,0.88502,0.00721,1,0.376,0.24046,0.8919,2.94659,1.75987,0.0811781,0.000178087,0.000178087
21,15.1267,0.26848,0.91361,0.92131,0.00694,1,0.4975,0.42024,0.79609,2.69271,1.54773,0.0801868,0.0001868,0.0001868
22,15.5359,0.34162,1.08863,0.90691,0.00694,1,0.4975,0.42024,0.79609,2.69271,1.54773,0.0791954,0.000195447,0.000195447
23,16.0531,0.36003,0.90225,0.92279,0.00671,1,0.83,0.69757,0.80435,2.5514,1.39164,0.078204,0.000204028,0.000204028
24,16.4643,0.28104,0.8185,0.89202,0.00671,1,0.83,0.69757,0.80435,2.5514,1.39164,0.0772125,0.000212543,0.000212543
25,16.9002,0.34444,0.84632,0.93604,0.00644,1,0.665,0.56557,0.82112,2.48605,1.41824,0.076221,0.000220992,0.000220992
26,17.2955,0.31128,0.75812,0.858,0.00644,1,0.665,0.56557,0.82112,2.48605,1.41824,0.0752294,0.000229375,0.000229375
27,17.7548,0.31998,0.76268,0.93712,0.00628,1,0.299,0.24764,0.91867,2.48071,1.4596,0.0742377,0.000237692,0.000237692
28,18.146,0.31266,0.73893,0.87725,0.00628,1,0.299,0.24764,0.91867,2.48071,1.4596,0.0732459,0.000245943,0.000245943
29,18.6647,0.31287,0.76097,0.90095,0.00624,1,0.0888,0.07187,0.98661,2.47878,1.58685,0.0722541,0.000254128,0.000254128
30,19.0396,0.28685,0.69322,0.8876,0.00624,1,0.0888,0.07187,0.98661,2.47878,1.58685,0.0712622,0.000262247,0.000262247
31,19.4802,0.27992,0.6801,0.88604,0.00616,1,0.376,0.30757,0.87125,2.47212,1.53018,0.0702703,0.0002703,0.0002703
32,19.8874,0.35182,0.67446,0.87277,0.00616,1,0.376,0.30757,0.87125,2.47212,1.53018,0.0692783,0.000278287,0.000278287
33,20.3193,0.39355,0.75505,0.91012,0.00656,1,0.665,0.55424,0.72658,2.44925,1.40455,0.0682862,0.000286208,0.000286208
34,20.7816,0.35262,0.65239,0.88365,0.00656,1,0.665,0.55424,0.72658,2.44925,1.40455,0.0672941,0.000294063,0.000294063
35,21.2172,0.34986,0.65639,0.9375,0.00696,1,0.995,0.88516,0.55138,2.37809,1.24211,0.0663019,0.000301852,0.000301852
36,21.6097,0.32487,0.59477,0.86646,0.00696,1,0.995,0.88516,0.55138,2.37809,1.24211,0.0653096,0.000309575,0.000309575
37,22.0524,0.31109,0.63231,0.8966,0.00711,1,0.78875,0.71414,0.55707,2.4205,1.17364,0.0643172,0.000317232,0.000317232
38,22.477,0.38265,0.57807,0.94385,0.00711,1,0.78875,0.71414,0.55707,2.4205,1.17364,0.0633248,0.000324823,0.000324823
39,22.916,0.3172,0.57563,0.93097,0.00699,1,0.63115,0.48234,0.69509,2.5009,1.18498,0.0623323,0.000332348,0.000332348
40,23.3967,0.42269,0.61959,0.88457,0.00699,1,0.63115,0.48234,0.69509,2.5009,1.18498,0.0613398,0.000339807,0.000339807
41,23.8054,0.42437,0.64633,0.89318,0.00691,1,0.5825,0.46083,0.75805,2.52574,1.1466,0.0603472,0.0003472,0.0003472
42,24.2045,0.34995,0.58539,0.89598,0.00691,1,0.5825,0.46083,0.75805,2.52574,1.1466,0.0593545,0.000354527,0.000354527
43,24.6337,0.33353,0.58539,0.92849,0.00719,1,0.995,0.90675,0.48647,2.36695,0.98901,0.0583618,0.000361788,0.000361788
44,25.0282,0.36617,0.5822,0.92208,0.00719,1,0.995,0.90675,0.48647,2.36695,0.98901,0.057369,0.000368983,0.000368983
45,25.4926,0.34226,0.5642,0.90709,0.00713,1,0.995,0.8955,0.41842,2.07172,0.95899,0.0563761,0.000376112,0.000376112
46,25.9984,0.31782,0.52247,0.88548,0.00713,1,0.995,0.8955,0.41842,2.07172,0.95899,0.0553832,0.000383175,0.000383175
47,26.4389,0.30903,0.52223,0.86016,0.82599,1,0.995,0.92908,0.37593,1.91289,0.92267,0.0543902,0.000390172,0.000390172
48,26.8387,0.38285,0.55028,0.91463,0.82599,1,0.995,0.92908,0.37593,1.91289,0.92267,0.0533971,0.000397103,0.000397103
49,27.3194,0.30374,0.45967,0.90247,0.95638,1,0.995,0.96208,0.36439,1.60749,0.9124,0.052404,0.000403968,0.000403968
50,27.7241,0.35753,0.51788,0.93196,0.95638,1,0.995,0.96208,0.36439,1.60749,0.9124,0.0514108,0.000410767,0.000410767
51,28.2554,0.3472,0.54428,0.90956,0.95412,1,0.995,0.91233,0.38744,1.28322,0.91917,0.0504175,0.0004175,0.0004175
52,28.6325,0.33534,0.53658,0.93162,0.95412,1,0.995,0.91233,0.38744,1.28322,0.91917,0.0494242,0.000424167,0.000424167
53,29.0367,0.3519,0.52718,0.89441,0.95412,1,0.995,0.91233,0.38744,1.28322,0.91917,0.0484308,0.000430768,0.000430768
54,29.4606,0.34333,0.50315,0.91055,0.96633,1,0.995,0.96209,0.40109,1.0851,0.93395,0.0474373,0.000437303,0.000437303
55,29.8916,0.35621,0.47129,0.89668,0.96633,1,0.995,0.96209,0.40109,1.0851,0.93395,0.0464438,0.000443772,0.000443772
56,30.3067,0.31822,0.48019,0.87062,0.96633,1,0.995,0.96209,0.40109,1.0851,0.93395,0.0454502,0.000450175,0.000450175
57,30.8191,0.35907,0.62576,0.88268,0.96934,1,0.995,0.96209,0.39305,1.00667,0.95507,0.0444565,0.000456512,0.000456512
58,31.2559,0.28928,0.49523,0.89146,0.96934,1,0.995,0.96209,0.39305,1.00667,0.95507,0.0434628,0.000462783,0.000462783
59,31.6738,0.27836,0.47342,0.90668,0.96934,1,0.995,0.96209,0.39305,1.00667,0.95507,0.042469,0.000468988,0.000468988
60,32.0914,0.27866,0.43445,0.88858,0.97282,1,0.995,0.96209,0.41992,0.90251,1.06022,0.0414751,0.000475127,0.000475127
61,32.5247,0.34617,0.4815,0.91386,0.97282,1,0.995,0.96209,0.41992,0.90251,1.06022,0.0404812,0.0004812,0.0004812
62,32.9767,0.29965,0.4499,0.88334,0.97282,1,0.995,0.96209,0.41992,0.90251,1.06022,0.0394872,0.000487207,0.000487207
63,33.4668,0.26466,0.46267,0.83523,0.97301,1,0.995,0.8955,0.43993,0.89748,1.07484,0.0384931,0.000493148,0.000493148
64,33.8902,0.29946,0.45728,0.9012,0.97301,1,0.995,0.8955,0.43993,0.89748,1.07484,0.037499,0.000499023,0.000499023
65,34.2785,0.3048,0.45537,0.91058,0.97301,1,0.995,0.8955,0.43993,0.89748,1.07484,0.0365048,0.000504832,0.000504832
